id,sex,ses,marital,profession,education,GIS1,GIS2,GIS3,GIS4,GIS5,GIS6,GIS7,GIS8,GIS9,GIS10,GIS11,GIS12,GIS13,GIS14,GIS15,GIS16,GIS17,GIS18,GIS19,GIS20,GIS21,Age
151,1,2,1,5,5,4,4,4,4,3,2,3,3,3,2,3,3,3,3,2,4,1,1,2,2,2,67
152,1,3,1,3,2,3,3,3,4,3,2,1,4,4,3,4,4,3,4,3,3,3,3,3,3,1,63
153,1,2,1,4,5,3,4,4,4,3,3,3,4,4,3,3,4,3,3,3,4,4,3,4,3,3,72
154,0,2,1,5,5,3,3,3,4,3,3,3,4,4,2,3,4,3,4,3,4,4,3,4,3,3,62
155,0,2,1,5,1,3,3,3,4,3,4,4,4,3,3,3,4,3,4,3,4,4,3,3,3,4,62
156,0,3,1,5,2,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,4,4,3,4,3,2,60
157,0,1,1,5,5,2,3,3,4,3,2,4,4,4,2,3,4,3,4,3,3,3,1,4,3,3,74
158,1,3,3,1,3,4,3,4,4,3,3,4,4,4,2,3,4,3,3,2,4,4,3,4,3,2,78
159,1,2,1,1,3,4,4,4,4,3,3,4,4,4,3,3,4,3,4,4,4,4,3,3,3,4,68
160,1,2,2,1,5,4,2,1,3,4,4,4,4,4,4,4,4,3,3,3,4,4,3,4,3,4,64
161,1,2,1,1,1,4,4,2,3,3,3,3,3,4,3,4,4,3,0,4,4,4,4,4,4,4,62
162,1,2,1,4,1,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,65
163,1,2,1,4,5,1,4,3,3,4,4,3,3,4,3,4,4,4,3,4,4,4,4,4,4,4,80
164,1,1,1,3,1,3,1,1,3,3,4,3,4,3,3,4,3,4,3,2,3,3,4,2,2,2,66
165,1,1,1,1,1,3,3,3,3,4,3,3,4,3,4,4,4,3,3,3,4,3,4,4,3,4,61
166,1,2,2,1,1,3,3,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,0,3,3,4,61
167,1,2,2,3,1,3,4,3,3,4,3,0,1,3,3,3,2,2,1,2,3,2,0,1,1,2,65
168,1,1,1,3,5,4,4,4,4,3,3,3,4,2,3,4,3,4,2,3,4,3,0,3,1,2,62
169,1,1,2,3,1,3,3,2,2,1,2,3,2,2,1,3,2,2,2,2,1,1,0,1,1,2,69
170,1,2,1,3,5,2,2,2,1,3,2,1,0,0,2,1,0,0,0,2,0,0,0,0,1,1,63
171,1,1,1,2,5,1,0,2,3,2,1,0,2,0,0,1,1,0,0,2,1,2,0,0,1,2,79
172,1,2,1,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,64
173,1,1,1,2,1,4,4,4,4,4,3,3,4,4,4,4,4,4,3,4,4,4,3,3,3,4,62
174,1,1,2,3,1,4,0,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,2,4,3,4,63
